target,target_count,target_and_keyphrase_count,keyphrase_count,database_count,p_value,target_and_keyphrase_ratio
SLAMF8,13,1,54549,30028272,0.0233599565784098,0.07692307692307693
MIA3,26,2,54549,30028272,0.0010417901501205951,0.07692307692307693
GPSM3,13,1,54549,30028272,0.0233599565784098,0.07692307692307693
CXCL10,3871,297,54549,30028272,0.0,0.07672436063032809
CXCL3,238,18,54549,30028272,1.5371559566772513e-23,0.07563025210084033
CXCL1,2483,184,54549,30028272,1.195148565664e-223,0.07410390656463955
CD84,82,6,54549,30028272,1.1176956296843304e-08,0.07317073170731707
CXCL6,235,17,54549,30028272,5.539907412913689e-22,0.07234042553191489
OLFML3,14,1,54549,30028272,0.025134109976053646,0.07142857142857142
EIF2B4,14,1,54549,30028272,0.025134109976053646,0.07142857142857142
RHOQ,14,1,54549,30028272,0.025134109976053646,0.07142857142857142
SCRG1,14,1,54549,30028272,0.025134109976053646,0.07142857142857142
LRRFIP1,29,2,54549,30028272,0.001296731780634851,0.06896551724137931
TLR2,8597,588,54549,30028272,0.0,0.0683959520763057
TNFRSF21,44,3,54549,30028272,7.508169834013108e-05,0.06818181818181818
CXCR1,1048,70,54549,30028272,4.916673791721182e-83,0.06679389312977099
PLEKHG5,15,1,54549,30028272,0.0269050405254222,0.06666666666666667
PLA2G2D,15,1,54549,30028272,0.0269050405254222,0.06666666666666667
NEXN,15,1,54549,30028272,0.0269050405254222,0.06666666666666667
FCRL2,15,1,54549,30028272,0.0269050405254222,0.06666666666666667
NCEH1,15,1,54549,30028272,0.0269050405254222,0.06666666666666667
CXCL14,243,16,54549,30028272,4.0599322571175636e-20,0.06584362139917696
CADM3,16,1,54549,30028272,0.02867275408089179,0.0625
TNFSF18,16,1,54549,30028272,0.02867275408089179,0.0625
DENND1B,16,1,54549,30028272,0.02867275408089179,0.0625
PLSCR1,98,6,54549,30028272,3.2773929817395086e-08,0.061224489795918366
XCR1,132,8,54549,30028272,1.7867950672496503e-10,0.06060606060606061
CXCL2,1273,77,54549,30028272,7.937149777661612e-88,0.060487038491751764
CHIT1,119,7,54549,30028272,3.059807367872153e-09,0.058823529411764705
CMTM6,17,1,54549,30028272,0.030437256486199424,0.058823529411764705
CHST2,17,1,54549,30028272,0.030437256486199424,0.058823529411764705
