target,target_count,target_and_keyphrase_count,keyphrase_count,database_count,p_value,target_and_keyphrase_ratio
UCHL1,652,108,99703,30028272,1.6654315781815265e-143,0.1656441717791411
PELI1,37,6,99703,30028272,2.851354220396774e-09,0.16216216216216217
CR2,1660,268,99703,30028272,0.0,0.1614457831325301
ENPEP,25,4,99703,30028272,1.4539396194606612e-06,0.16
PARP9,19,3,99703,30028272,3.408326358785044e-05,0.15789473684210525
ELL2,51,8,99703,30028272,8.281888669529992e-12,0.1568627450980392
ZAP70,593,92,99703,30028272,1.0105006341863333e-119,0.1551433389544688
SLAMF8,13,2,99703,30028272,0.0008392177141230371,0.15384615384615385
CMPK2,13,2,99703,30028272,0.0008392177141230371,0.15384615384615385
SH3BP5,26,4,99703,30028272,1.7137389511948967e-06,0.15384615384615385
CMTM7,13,2,99703,30028272,0.0008392177141230371,0.15384615384615385
DTX3L,13,2,99703,30028272,0.0008392177141230371,0.15384615384615385
ZNF608,13,2,99703,30028272,0.0008392177141230371,0.15384615384615385
DDX43,13,2,99703,30028272,0.0008392177141230371,0.15384615384615385
HLA-DOA,33,5,99703,30028272,8.862464334506672e-08,0.15151515151515152
SOX11,337,51,99703,30028272,1.4328923505532934e-66,0.1513353115727003
ROR1,225,34,99703,30028272,6.499049076177132e-45,0.1511111111111111
IL21,227,34,99703,30028272,8.939676810700193e-45,0.14977973568281938
PIK3CD,134,20,99703,30028272,5.942233596283718e-27,0.14925373134328357
MNDA,88,13,99703,30028272,5.67385509455176e-18,0.14772727272727273
CD74,684,101,99703,30028272,5.94786932908863e-129,0.1476608187134503
DRC1,34,5,99703,30028272,1.0361791461928049e-07,0.14705882352941177
CD53,171,25,99703,30028272,4.5562128262664244e-33,0.14619883040935672
LRBA,83,12,99703,30028272,1.3975711737079312e-16,0.14457831325301204
ZBTB17,14,2,99703,30028272,0.000976926755851797,0.14285714285714285
HS2ST1,7,1,99703,30028272,0.023011896304682557,0.14285714285714285
SCARNA2,7,1,99703,30028272,0.023011896304682557,0.14285714285714285
TRIM45,7,1,99703,30028272,0.023011896304682557,0.14285714285714285
BLZF1,7,1,99703,30028272,0.023011896304682557,0.14285714285714285
TMCC2,7,1,99703,30028272,0.023011896304682557,0.14285714285714285
FAIM3,21,3,99703,30028272,4.654889743442517e-05,0.14285714285714285
RHOQ,14,2,99703,30028272,0.000976926755851797,0.14285714285714285
ZNF385B,7,1,99703,30028272,0.023011896304682557,0.14285714285714285
EFHD1,14,2,99703,30028272,0.000976926755851797,0.14285714285714285
TBC1D14,7,1,99703,30028272,0.023011896304682557,0.14285714285714285
FNIP1,35,5,99703,30028272,1.2055387324761706e-07,0.14285714285714285
TIFAB,7,1,99703,30028272,0.023011896304682557,0.14285714285714285
