target,target_count,target_and_keyphrase_count,keyphrase_count,database_count,p_value,target_and_keyphrase_ratio
SAG,2290,1,655,30453397,0.0480629087586093,0.0004366812227074236
CD34,30961,13,655,30453397,3.9285209644831873e-13,0.0004198830787119279
PDC,4838,2,655,30453397,0.005045040218296564,0.00041339396444811904
EPCAM,2434,1,655,30453397,0.05100694375446097,0.0004108463434675431
SMAD3,4905,2,655,30453397,0.005180835637248464,0.00040774719673802244
HLA-DRB1,4971,2,655,30453397,0.0053162372180189455,0.0004023335345001006
SOD2,2500,1,655,30453397,0.05235324444503013,0.0004
CD2,10185,4,655,30453397,7.988500663113348e-05,0.00039273441335297007
FAS,28277,11,655,30453397,5.599690066748501e-11,0.0003890087350143226
CPM,5552,2,655,30453397,0.006577358763393813,0.00036023054755043225
PHB,2803,1,655,30453397,0.058509588548630254,0.00035676061362825543
CD33,2849,1,655,30453397,0.05944071500572801,0.000351000351000351
IL10,3014,1,655,30453397,0.062773071416667,0.00033178500331785003
IL2,3234,1,655,30453397,0.06719788440052135,0.00030921459492888067
RELA,3271,1,655,30453397,0.06794001082896205,0.0003057169061449098
TLR3,3653,1,655,30453397,0.07556753748414385,0.0002737476047084588
BLM,3742,1,655,30453397,0.077335666851456,0.0002672367717797969
MUC1,3854,1,655,30453397,0.07955590586718383,0.0002594706798131811
CXCL10,3987,1,655,30453397,0.08218554848478513,0.00025081514923501377
REL,4252,1,655,30453397,0.08740268600828618,0.00023518344308560678
TNF,150087,35,655,30453397,1.2711939856034314e-24,0.0002331980784478336
FLT3,4382,1,655,30453397,0.08995120079857775,0.00022820629849383843
STAT3,19007,4,655,30453397,0.0008347310037133187,0.00021044878202767402
NOTCH1,4756,1,655,30453397,0.09724351731798539,0.00021026072329688813
NLRP3,4846,1,655,30453397,0.09898963694276362,0.0002063557573256294
TPO,4936,1,655,30453397,0.10073236671011564,0.0002025931928687196
PGP,5247,1,655,30453397,0.106728627788236,0.0001905850962454736
MCC,5253,1,655,30453397,0.10684391323336044,0.00019036740909956216
HCCS,5333,1,655,30453397,0.108379697543767,0.00018751171948246765
HLA-B,5605,1,655,30453397,0.11358165202516102,0.0001784121320249777
MBP,11613,2,655,30453397,0.02642592591332297,0.0001722207870489968
GAPDH,5822,1,655,30453397,0.11771001289933973,0.00017176228100309173
CCL2,6088,1,655,30453397,0.1227443952959568,0.000164257555847569
TAT,13003,2,655,30453397,0.032493272795467945,0.00015381065907867414
CDK2,6508,1,655,30453397,0.13063509110725607,0.00015365703749231714
STAT1,6643,1,655,30453397,0.1331562897318857,0.0001505343971097396
SRC,28198,4,655,30453397,0.0034650058671746643,0.0001418540322008653
LIF,7255,1,655,30453397,0.1444945286581073,0.00013783597518952445
JAK2,7946,1,655,30453397,0.1571184905074169,0.00012584948401711554
BCL2,8110,1,655,30453397,0.16008720733254084,0.00012330456226880394
ACR,8624,1,655,30453397,0.1693241307307407,0.00011595547309833024
TLR2,8751,1,655,30453397,0.17159075701305512,0.00011427265455376528
MTOR,26353,3,655,30453397,0.01990539735481154,0.00011383903160930444
HGF,9663,1,655,30453397,0.18768709560555608,0.0001034875297526648
NPY,10023,1,655,30453397,0.19395462139387099,9.977052778609199e-05
ARC,21789,2,655,30453397,0.08079109549447575,9.178943503602736e-05
MYC,33100,3,655,30453397,0.035519493182126174,9.063444108761329e-05
AHR,11384,1,655,30453397,0.2172160800658526,8.784258608573436e-05
AFP,12741,1,655,30453397,0.2397418036672828,7.848677497841614e-05
VIP,13565,1,655,30453397,0.2531029069669317,7.371913011426465e-05
MIP,13888,1,655,30453397,0.2582761288351846,7.200460829493088e-05
JUN,30099,2,655,30453397,0.13767480336440485,6.64473902787468e-05
TG,46820,3,655,30453397,0.08145312754656783,6.407518154634771e-05
CAMP,78779,5,655,30453397,0.02907031923602204,6.346869089478161e-05
MSC,16276,1,655,30453397,0.2954288874885665,6.144015728680265e-05
TLR4,16439,1,655,30453397,0.2978960017286315,6.083095078776081e-05
BCR,16482,1,655,30453397,0.2985454171778969,6.067224851352991e-05
APOE,17817,1,655,30453397,0.3184115299478788,5.6126171633832856e-05
IMPACT,748445,39,655,30453397,6.381295475240751e-07,5.210803733073239e-05
AFM,19682,1,655,30453397,0.34522733462373195,5.08078447312265e-05
HP,20047,1,655,30453397,0.35035095005578953,4.9882775477627575e-05
CRP,43324,2,655,30453397,0.23916269647436827,4.6163789123811284e-05
F2,22000,1,655,30453397,0.3770930677445952,4.545454545454545e-05
AR,44795,2,655,30453397,0.25079289113742986,4.4647840160732226e-05
CLOCK,23403,1,655,30453397,0.3956229797066908,4.272956458573687e-05
GC,83800,3,655,30453397,0.26994614921401827,3.579952267303102e-05
WAS,12042929,339,655,30453397,1.7414387774644222e-10,2.814929823135219e-05
NODAL,40891,1,655,30453397,0.5852565925984992,2.44552591034702e-05
MB,50345,1,655,30453397,0.6616727310485204,1.986294567484358e-05
SI,52679,1,655,30453397,0.6782652606508084,1.898289641033429e-05
CS,53152,1,655,30453397,0.6815274412292762,1.8813967489464178e-05
LARGE,1276803,24,655,30453397,0.7765395141737118,1.879694831544099e-05
CA2,111098,2,655,30453397,0.689831040046821,1.8002124250661576e-05
MET,177537,3,655,30453397,0.7349346481265582,1.6897886074452087e-05
PC,61100,1,655,30453397,0.731657149905191,1.6366612111292963e-05
HR,222888,3,655,30453397,0.8578624327026156,1.3459674814256487e-05
SET,476105,4,655,30453397,0.9916951487670029,8.40150807069869e-06
MIR1302-10,0,0,655,30453397,1.0,0.0
FAM138A,0,0,655,30453397,1.0,0.0
OR4F5,0,0,655,30453397,1.0,0.0
RP11-34P13.7,0,0,655,30453397,1.0,0.0
RP11-34P13.8,0,0,655,30453397,1.0,0.0
AL627309.1,0,0,655,30453397,1.0,0.0
RP11-34P13.14,0,0,655,30453397,1.0,0.0
RP11-34P13.9,0,0,655,30453397,1.0,0.0
AP006222.2,0,0,655,30453397,1.0,0.0
RP4-669L17.10,0,0,655,30453397,1.0,0.0
