target,target_count,target_and_keyphrase_count,keyphrase_count,database_count,p_value,target_and_keyphrase_ratio
CD80,6540,22,1707,30028272,1.8583831220401915e-31,0.003363914373088685
FHL2,303,1,1707,30028272,0.01707754337107058,0.0033003300330033004
MLN,1871,6,1707,30028272,1.8060603399756235e-09,0.003206841261357563
BCL6,1567,5,1707,30028272,4.2889416252586e-08,0.003190810465858328
PLN,1299,4,1707,30028272,1.1588206650978238e-06,0.003079291762894534
CXCL13,1025,3,1707,30028272,3.142178003491973e-05,0.002926829268292683
DDR1,343,1,1707,30028272,0.019310114728911077,0.0029154518950437317
IL2,3197,9,1707,30028272,4.906503804898267e-13,0.0028151391929934315
CHI3L1,359,1,1707,30028272,0.02020172375290317,0.002785515320334262
FGG,360,1,1707,30028272,0.020257421218899466,0.002777777777777778
MOG,2162,6,1707,30028272,4.2439369936200225e-09,0.0027752081406105457
S1PR1,363,1,1707,30028272,0.020424498070031227,0.0027548209366391185
ENO1,372,1,1707,30028272,0.02092556063330361,0.002688172043010753
SATB1,372,1,1707,30028272,0.02092556063330361,0.002688172043010753
CXCR6,373,1,1707,30028272,0.02098121907034611,0.002680965147453083
RORC,385,1,1707,30028272,0.021648861279961927,0.0025974025974025974
TSLP,1241,3,1707,30028272,5.528614525925824e-05,0.0024174053182917004
CD48,454,1,1707,30028272,0.02547899681522475,0.0022026431718061676
TLR5,1367,3,1707,30028272,7.351618815124245e-05,0.0021945866861741038
TLR9,4158,9,1707,30028272,4.988596825853959e-12,0.0021645021645021645
CCL20,1387,3,1707,30028272,7.672773526908193e-05,0.0021629416005767843
AREG,469,1,1707,30028272,0.026309648256107127,0.0021321961620469083
PIM1,471,1,1707,30028272,0.026420348300134493,0.0021231422505307855
MR1,481,1,1707,30028272,0.026973663332691064,0.002079002079002079
FOXO3,967,2,1707,30028272,0.0014544445431674913,0.002068252326783868
FOXP1,494,1,1707,30028272,0.02769249773445762,0.0020242914979757085
MYD88,6284,12,1707,30028272,6.190663549734316e-15,0.0019096117122851686
IL4,2099,4,1707,30028272,7.632758432649518e-06,0.0019056693663649356
IL5,536,1,1707,30028272,0.03001126647075018,0.0018656716417910447
CD1C,573,1,1707,30028272,0.032049411531519724,0.0017452006980802793
AIM2,575,1,1707,30028272,0.032159459840159964,0.0017391304347826088
APC,20990,36,1707,30028272,3.3426895725165776e-40,0.001715102429728442
TLR3,3578,6,1707,30028272,8.163875464947116e-08,0.0016769144773616546
CD55,1221,2,1707,30028272,0.0022972852418087645,0.001638001638001638
CD83,2487,4,1707,30028272,1.4788234071400017e-05,0.0016083634901487736
PBX1,644,1,1707,30028272,0.035948464969848444,0.0015527950310559005
LCK,2589,4,1707,30028272,1.7289500910161528e-05,0.001544998068752414
UCHL1,652,1,1707,30028272,0.036386816573652274,0.0015337423312883436
ID3,656,1,1707,30028272,0.03660591357988754,0.001524390243902439
CCR5,7891,12,1707,30028272,8.772549640022128e-14,0.0015207198073754911
CD38,6192,9,1707,30028272,1.6251408198941215e-10,0.0014534883720930232
ATF2,706,1,1707,30028272,0.039340439905340356,0.00141643059490085
IRF1,712,1,1707,30028272,0.039668061886090206,0.0014044943820224719
ATG7,1434,2,1707,30028272,0.0031438010729417116,0.001394700139470014
CD58,738,1,1707,30028272,0.041086466521440934,0.0013550135501355014
EMB,1496,2,1707,30028272,0.00341366042378894,0.001336898395721925
HLA-E,756,1,1707,30028272,0.04206720907869205,0.0013227513227513227
TGFBR2,766,1,1707,30028272,0.04261163227561786,0.0013054830287206266
LTB,1560,2,1707,30028272,0.0037031703359029474,0.001282051282051282
IL13,785,1,1707,30028272,0.043645194080300084,0.0012738853503184713
CD52,852,1,1707,30028272,0.04728094602809371,0.0011737089201877935
TLR2,8597,10,1707,30028272,1.3357611556334893e-10,0.0011631964638827497
ROS1,868,1,1707,30028272,0.04814714395525897,0.001152073732718894
GLI2,886,1,1707,30028272,0.04912067070436325,0.001128668171557562
TEC,2715,3,1707,30028272,0.0005446135502381878,0.0011049723756906078
ID2,986,1,1707,30028272,0.054511055534399805,0.0010141987829614604
CXCR2,2016,2,1707,30028272,0.006080445636231359,0.000992063492063492
NOTCH2,1035,1,1707,30028272,0.057141193452198834,0.000966183574879227
RUNX3,1043,1,1707,30028272,0.05756990647968099,0.0009587727708533077
CXCR1,1048,1,1707,30028272,0.05783775958044559,0.0009541984732824427
ARG1,1054,1,1707,30028272,0.05815907160349275,0.0009487666034155598
JAK1,2181,2,1707,30028272,0.007072882759168186,0.0009170105456212746
CCR2,3288,3,1707,30028272,0.0009444028862225498,0.0009124087591240876
CD1D,2201,2,1707,30028272,0.0071978312774202986,0.0009086778736937755
MTOR,25340,23,1707,30028272,3.7479880895626974e-20,0.0009076558800315707
CD2,10145,9,1707,30028272,1.1340978481930605e-08,0.0008871365204534253
PDC,4735,4,1707,30028272,0.0001757915660863043,0.0008447729672650475
SKP2,1224,1,1707,30028272,0.0672176832754451,0.0008169934640522876
TLR1,1265,1,1707,30028272,0.06938933764444494,0.0007905138339920949
CCR1,1266,1,1707,30028272,0.06944224922058548,0.0007898894154818325
HLA-A,9160,7,1707,30028272,1.2918078673582466e-06,0.0007641921397379913
CD46,1349,1,1707,30028272,0.07382282605268006,0.0007412898443291327
CXCR4,10860,8,1707,30028272,2.980214095950995e-07,0.0007366482504604051
HDAC2,1379,1,1707,30028272,0.07540109620857427,0.0007251631617113851
REL,4215,3,1707,30028272,0.0019137757450474588,0.0007117437722419929
CX3CR1,1506,1,1707,30028272,0.08205269533470809,0.0006640106241699867
IL1B,1563,1,1707,30028272,0.08502250522023168,0.0006397952655150352
TNF,147318,93,1707,30028272,1.7534035335864572e-63,0.0006312874190526616
HLA-DQB1,1653,1,1707,30028272,0.08969211835194774,0.0006049606775559589
MUT,1746,1,1707,30028272,0.09449236878630085,0.000572737686139748
WNT3A,1748,1,1707,30028272,0.0945953089553413,0.0005720823798627002
FH,7157,4,1707,30028272,0.0008234706927404431,0.0005588933910856504
MUC1,3781,2,1707,30028272,0.02002867556875225,0.0005289605924358636
AMT,1958,1,1707,30028272,0.10534050962413383,0.0005107252298263534
SAG,2261,1,1707,30028272,0.12062009310573178,0.0004422821760283061
VIT,2330,1,1707,30028272,0.12406296760168914,0.00042918454935622315
ALK,7118,3,1707,30028272,0.008164275314470464,0.0004214667041303737
EIF4E,2521,1,1707,30028272,0.13352318762674548,0.0003966679888932963
CD14,12652,5,1707,30028272,0.0008811786334835921,0.00039519443566234585
HDAC1,2704,1,1707,30028272,0.14249136882905658,0.0003698224852071006
MPL,2743,1,1707,30028272,0.14439059670103815,0.0003645643456069996
RHOA,8881,3,1707,30028272,0.014738029087940134,0.0003377997973201216
CR1,3021,1,1707,30028272,0.1578074301621262,0.00033101621979476995
CD1A,3247,1,1707,30028272,0.168559531059662,0.0003079765937788728
STAT1,6494,2,1707,30028272,0.05345763244507935,0.0003079765937788728
MICA,4249,1,1707,30028272,0.21460180457487144,0.0002353494939985879
SSB,4339,1,1707,30028272,0.21861045417532213,0.00023046784973496196
NLRP3,4458,1,1707,30028272,0.22387940320860555,0.00022431583669807088
SRM,4487,1,1707,30028272,0.22515806542599553,0.00022286605749944285
TPO,4858,1,1707,30028272,0.24133131420435602,0.0002058460271716756
HLA-DRB1,4922,1,1707,30028272,0.244087005314445,0.0002031694433157253
MCC,5081,1,1707,30028272,0.2508899313413684,0.000196811651249754
RUNX2,5663,1,1707,30028272,0.27527343553199995,0.0001765848490199541
CDC42,5802,1,1707,30028272,0.2809786275674752,0.0001723543605653223
JUN,29777,5,1707,30028272,0.029077861614657988,0.0001679148335963999
PAM,6140,1,1707,30028272,0.29466518557359866,0.00016286644951140066
TF,18951,3,1707,30028272,0.09499165981196298,0.00015830299192654741
APOB,7318,1,1707,30028272,0.34036237848509115,0.00013664935774801857
RHO,33370,3,1707,30028272,0.29544411463134423,8.990110878034162e-05
ADC,11313,1,1707,30028272,0.47441481184743123,8.839388314328648e-05
KIT,50630,3,1707,30028272,0.5491390089994871,5.9253407070906575e-05
CAD,34529,2,1707,30028272,0.5840056461153312,5.792232616061861e-05
CAMP,78294,4,1707,30028272,0.6496557220351739,5.108948322987713e-05
GC,81953,4,1707,30028272,0.6841432114668238,4.8808463387551405e-05
CP,48630,2,1707,30028272,0.7630554814045933,4.1126876413736376e-05
CD34,30586,1,1707,30028272,0.8244164926601832,3.269469692015955e-05
EGF,30762,1,1707,30028272,0.8261661820140782,3.250763929523438e-05
CRP,42331,1,1707,30028272,0.9100168250808363,2.3623349318466372e-05
SHE,112272,1,1707,30028272,0.9983291921411775,8.90694028787231e-06
REST,134090,1,1707,30028272,0.9995190232516524,7.457677679170707e-06
MIR1302-10,0,0,1707,30028272,1.0,0.0
