target,target_count,target_and_keyphrase_count,keyphrase_count,database_count,p_value,target_and_keyphrase_ratio
MICB,403,40,226659,30028272,2.394703944569022e-31,0.09925558312655088
HLA-C,1994,193,226659,30028272,2.1773245522911287e-142,0.09679037111334002
SERINC5,31,3,226659,30028272,0.0016503455277424456,0.0967741935483871
CD74,684,66,226659,30028272,7.985171115357376e-50,0.09649122807017543
S1PR1,363,35,226659,30028272,3.3287089169316545e-27,0.09641873278236915
LRBA,83,8,226659,30028272,2.5124328797268206e-07,0.0963855421686747
NCK1,104,10,226659,30028272,8.21656524105854e-09,0.09615384615384616
ERBB2IP,21,2,226659,30028272,0.0108771197190367,0.09523809523809523
EXOC2,21,2,226659,30028272,0.0108771197190367,0.09523809523809523
HLA-G,1965,187,226659,30028272,1.0983879555458963e-136,0.09516539440203563
CCR2,3288,312,226659,30028272,2.436011294969155e-226,0.0948905109489051
DLG1,180,17,226659,30028272,7.370755815018034e-14,0.09444444444444444
ALCAM,373,35,226659,30028272,8.39078887073917e-27,0.0938337801608579
TAPBP,32,3,226659,30028272,0.0018108732995711797,0.09375
CR2,1660,155,226659,30028272,2.1841227391479206e-112,0.09337349397590361
NDFIP1,54,5,226659,30028272,5.695676310007115e-05,0.09259259259259259
PLN,1299,120,226659,30028272,6.716519673932536e-87,0.09237875288683603
HDAC11,120,11,226659,30028272,2.4723532985542854e-09,0.09166666666666666
PDC,4735,433,226659,30028272,1.3363948500779874e-306,0.0914466737064414
PMVK,11,1,226659,30028272,0.07996633337300242,0.09090909090909091
IL1RL2,11,1,226659,30028272,0.07996633337300242,0.09090909090909091
GOLGA4,11,1,226659,30028272,0.07996633337300242,0.09090909090909091
ARIH2,11,1,226659,30028272,0.07996633337300242,0.09090909090909091
GK5,11,1,226659,30028272,0.07996633337300242,0.09090909090909091
B3GALNT1,11,1,226659,30028272,0.07996633337300242,0.09090909090909091
IGIP,11,1,226659,30028272,0.07996633337300242,0.09090909090909091
PCDHGB6,11,1,226659,30028272,0.07996633337300242,0.09090909090909091
TLR3,3578,323,226659,30028272,1.7720618623533637e-227,0.0902738960313024
ID3,656,59,226659,30028272,5.5834098194722134e-43,0.0899390243902439
TRIB2,79,7,226659,30028272,2.5157545560360934e-06,0.08860759493670886
DRC1,34,3,226659,30028272,0.002160345698037743,0.08823529411764706
RGS1,182,16,226659,30028272,1.1969634366837363e-12,0.08791208791208792
CD46,1349,118,226659,30028272,8.711329095582763e-83,0.08747220163083766
SPRR1B,23,2,226659,30028272,0.012974419634663713,0.08695652173913043
LBX2,23,2,226659,30028272,0.012974419634663713,0.08695652173913043
PTPN4,23,2,226659,30028272,0.012974419634663713,0.08695652173913043
DHRS9,23,2,226659,30028272,0.012974419634663713,0.08695652173913043
NCR3,35,3,226659,30028272,0.0023496619141674196,0.08571428571428572
FCRL3,118,10,226659,30028272,2.7875892353981874e-08,0.0847457627118644
GNAI2,59,5,226659,30028272,8.739100895969768e-05,0.0847457627118644
RPL22,108,9,226659,30028272,1.5878468272599441e-07,0.08333333333333333
GMEB1,12,1,226659,30028272,0.08691092170177935,0.08333333333333333
CTPS1,24,2,226659,30028272,0.014083643618512928,0.08333333333333333
BEND5,24,2,226659,30028272,0.014083643618512928,0.08333333333333333
LRRC8D,12,1,226659,30028272,0.08691092170177935,0.08333333333333333
PHTF1,12,1,226659,30028272,0.08691092170177935,0.08333333333333333
TAGLN2,60,5,226659,30028272,9.47420471517535e-05,0.08333333333333333
