target,target_count,target_and_keyphrase_count,keyphrase_count,database_count,p_value,target_and_keyphrase_ratio
ADAMTSL5,8,3,226659,30028272,2.340948314468043e-05,0.375
RLTPR,8,3,226659,30028272,2.340948314468043e-05,0.375
CD83,2487,931,226659,30028272,0.0,0.3743466023321271
CD1D,2201,822,226659,30028272,0.0,0.37346660608814175
TAL1,590,220,226659,30028272,4.3117526205228385e-301,0.3728813559322034
BATF3,143,53,226659,30028272,1.0365403145009655e-73,0.3706293706293706
FRAT1,57,21,226659,30028272,4.4683203984043164e-30,0.3684210526315789
CD8A,239,87,226659,30028272,4.5559561233526424e-119,0.36401673640167365
CYTIP,11,4,226659,30028272,1.026772445911945e-06,0.36363636363636365
KDELR1,11,4,226659,30028272,1.026772445911945e-06,0.36363636363636365
DUSP22,53,19,226659,30028272,4.4475966189596224e-27,0.3584905660377358
CD2BP2,28,10,226659,30028272,6.9595197665650195e-15,0.35714285714285715
HAVCR2,14,5,226659,30028272,4.63460807189563e-08,0.35714285714285715
CD58,738,263,226659,30028272,0.0,0.35636856368563685
IL7,251,89,226659,30028272,1.5683153646050388e-120,0.3545816733067729
VAV1,464,163,226659,30028272,1.983143349272927e-218,0.35129310344827586
ITGAE,20,7,226659,30028272,9.928525403380897e-11,0.35
CCR9,509,175,226659,30028272,2.131094933663158e-232,0.343811394891945
CD1C,573,196,226659,30028272,1.559094639405487e-259,0.34205933682373474
TBX21,284,97,226659,30028272,2.643270499392059e-129,0.3415492957746479
PMEL,211,72,226659,30028272,2.1270672055226863e-96,0.3412322274881517
MR1,481,163,226659,30028272,2.3004757782970843e-215,0.3388773388773389
IL2,3197,1070,226659,30028272,0.0,0.3346887707225524
ABHD3,3,1,226659,30028272,0.022474065209286485,0.3333333333333333
ACTR3B,3,1,226659,30028272,0.022474065209286485,0.3333333333333333
AHSA2,3,1,226659,30028272,0.022474065209286485,0.3333333333333333
C14orf93,3,1,226659,30028272,0.022474065209286485,0.3333333333333333
C19orf48,3,1,226659,30028272,0.022474065209286485,0.3333333333333333
CCDC132,3,1,226659,30028272,0.022474065209286485,0.3333333333333333
CCDC86,3,1,226659,30028272,0.022474065209286485,0.3333333333333333
