target,target_count,target_and_keyphrase_count,keyphrase_count,database_count,p_value,target_and_keyphrase_ratio
BACH2,206,77,99703,30028272,6.663811454632263e-134,0.3737864077669903
CD180,70,26,99703,30028272,3.4373736168801586e-46,0.37142857142857144
SPIB,76,28,99703,30028272,1.6664945184888418e-49,0.3684210526315789
CXCL13,1025,377,99703,30028272,0.0,0.3678048780487805
TNFSF13B,74,27,99703,30028272,1.1878045391046802e-47,0.36486486486486486
BCL10,479,171,99703,30028272,5.7752051184963406e-291,0.3569937369519833
BANK1,77,27,99703,30028272,4.390631776299064e-47,0.35064935064935066
CD27,2519,875,99703,30028272,0.0,0.3473600635172688
TNFRSF13B,61,21,99703,30028272,9.4235144384457e-37,0.3442622950819672
IRF4,893,303,99703,30028272,0.0,0.3393057110862262
ACSM5,3,1,99703,30028272,0.009927876507878436,0.3333333333333333
ACTR3B,3,1,99703,30028272,0.009927876507878436,0.3333333333333333
C14orf93,3,1,99703,30028272,0.009927876507878436,0.3333333333333333
C6orf62,3,1,99703,30028272,0.009927876507878436,0.3333333333333333
FAM129C,3,1,99703,30028272,0.009927876507878436,0.3333333333333333
FCAMR,6,2,99703,30028272,0.00016390598035270857,0.3333333333333333
GLYATL1,3,1,99703,30028272,0.009927876507878436,0.3333333333333333
GNA13,54,18,99703,30028272,2.078446929142213e-31,0.3333333333333333
GPR183,33,11,99703,30028272,9.780624569553005e-20,0.3333333333333333
GTF3C2,3,1,99703,30028272,0.009927876507878436,0.3333333333333333
HSH2D,3,1,99703,30028272,0.009927876507878436,0.3333333333333333
INTS5,3,1,99703,30028272,0.009927876507878436,0.3333333333333333
KIAA0146,3,1,99703,30028272,0.009927876507878436,0.3333333333333333
KIAA0284,3,1,99703,30028272,0.009927876507878436,0.3333333333333333
KLHL14,6,2,99703,30028272,0.00016390598035270857,0.3333333333333333
LEPREL4,3,1,99703,30028272,0.009927876507878436,0.3333333333333333
MAMDC4,3,1,99703,30028272,0.009927876507878436,0.3333333333333333
OR51B2,3,1,99703,30028272,0.009927876507878436,0.3333333333333333
PRRC1,3,1,99703,30028272,0.009927876507878436,0.3333333333333333
RNF217,3,1,99703,30028272,0.009927876507878436,0.3333333333333333
SAC3D1,3,1,99703,30028272,0.009927876507878436,0.3333333333333333
SYNRG,3,1,99703,30028272,0.009927876507878436,0.3333333333333333
THYN1,3,1,99703,30028272,0.009927876507878436,0.3333333333333333
ZBTB44,3,1,99703,30028272,0.009927876507878436,0.3333333333333333
ZCCHC7,6,2,99703,30028272,0.00016390598035270857,0.3333333333333333
ZFYVE19,3,1,99703,30028272,0.009927876507878436,0.3333333333333333
ZNF134,3,1,99703,30028272,0.009927876507878436,0.3333333333333333
ZNF362,3,1,99703,30028272,0.009927876507878436,0.3333333333333333
ZNF385A,3,1,99703,30028272,0.009927876507878436,0.3333333333333333
PDCD1LG2,40,13,99703,30028272,6.59415912936925e-23,0.325
IKZF1,440,139,99703,30028272,5.945382154699801e-228,0.3159090909090909
ZBTB32,13,4,99703,30028272,8.483995601155584e-08,0.3076923076923077
PRDM1,319,96,99703,30028272,1.3216465879673212e-155,0.30094043887147337
DOCK10,20,6,99703,30028272,4.9895935089448296e-11,0.3
ARID3A,57,17,99703,30028272,8.910918142818613e-29,0.2982456140350877
BTG2,304,90,99703,30028272,3.0617525124462574e-145,0.29605263157894735
POU2F2,24,7,99703,30028272,1.465174336258033e-12,0.2916666666666667
BLK,343,100,99703,30028272,2.128399482935864e-160,0.2915451895043732
LAIR1,31,9,99703,30028272,9.254529060545411e-16,0.2903225806451613
ARHGAP20,7,2,99703,30028272,0.00022896100981863768,0.2857142857142857
BCL9,126,36,99703,30028272,1.844704093150349e-58,0.2857142857142857
CLNK,14,4,99703,30028272,1.1846076894334477e-07,0.2857142857142857
DDX42,7,2,99703,30028272,0.00022896100981863768,0.2857142857142857
GIMAP6,7,2,99703,30028272,0.00022896100981863768,0.2857142857142857
LY6D,28,8,99703,30028272,4.3264832956947466e-14,0.2857142857142857
PASD1,14,4,99703,30028272,1.1846076894334477e-07,0.2857142857142857
YPEL5,7,2,99703,30028272,0.00022896100981863768,0.2857142857142857
ZNF384,28,8,99703,30028272,4.3264832956947466e-14,0.2857142857142857
EBF2,88,25,99703,30028272,5.261492561259266e-41,0.2840909090909091
SLAMF6,39,11,99703,30028272,8.316752373540101e-19,0.28205128205128205
TNFSF13,61,17,99703,30028272,3.3827998744690396e-28,0.2786885245901639
RGS13,29,8,99703,30028272,5.95704839040171e-14,0.27586206896551724
IGLL5,11,3,99703,30028272,5.920347005425176e-06,0.2727272727272727
SWAP70,22,6,99703,30028272,9.550424715425174e-11,0.2727272727272727
RHOH,96,26,99703,30028272,5.810908991937766e-42,0.2708333333333333
NFKBIE,30,8,99703,30028272,8.099293076574618e-14,0.26666666666666666
IL21R,68,18,99703,30028272,2.6133297906343267e-29,0.2647058823529412
MAP4K1,19,5,99703,30028272,4.513506298379528e-09,0.2631578947368421
SLAMF1,73,19,99703,30028272,1.070242346015573e-30,0.2602739726027397
CMBL,27,7,99703,30028272,3.726687928556733e-12,0.25925925925925924
FOXP1,494,128,99703,30028272,3.22027377518695e-197,0.2591093117408907
SPPL2A,35,9,99703,30028272,3.202713096902964e-15,0.2571428571428571
ARHGAP23,4,1,99703,30028272,0.01321521754393753,0.25
BCAP29,8,2,99703,30028272,0.0003046065462837674,0.25
BEND2,4,1,99703,30028272,0.01321521754393753,0.25
C10orf99,4,1,99703,30028272,0.01321521754393753,0.25
C15orf32,4,1,99703,30028272,0.01321521754393753,0.25
C6orf15,4,1,99703,30028272,0.01321521754393753,0.25
C9orf82,4,1,99703,30028272,0.01321521754393753,0.25
CCDC50,8,2,99703,30028272,0.0003046065462837674,0.25
CCT6B,4,1,99703,30028272,0.01321521754393753,0.25
COMMD3,8,2,99703,30028272,0.0003046065462837674,0.25
COMMD8,4,1,99703,30028272,0.01321521754393753,0.25
CTAG1A,4,1,99703,30028272,0.01321521754393753,0.25
DDX60L,4,1,99703,30028272,0.01321521754393753,0.25
EBF3,56,14,99703,30028272,1.0075991868805757e-22,0.25
FCRLB,4,1,99703,30028272,0.01321521754393753,0.25
GIMAP1,12,3,99703,30028272,7.874165460785672e-06,0.25
GMCL1,4,1,99703,30028272,0.01321521754393753,0.25
HDHD1,4,1,99703,30028272,0.01321521754393753,0.25
HIST1H3G,4,1,99703,30028272,0.01321521754393753,0.25
IL20RA,12,3,99703,30028272,7.874165460785672e-06,0.25
KANK3,4,1,99703,30028272,0.01321521754393753,0.25
KIAA1755,4,1,99703,30028272,0.01321521754393753,0.25
LEPREL2,4,1,99703,30028272,0.01321521754393753,0.25
NDNL2,4,1,99703,30028272,0.01321521754393753,0.25
NDUFB2,4,1,99703,30028272,0.01321521754393753,0.25
NOL12,4,1,99703,30028272,0.01321521754393753,0.25
PCDHGA12,4,1,99703,30028272,0.01321521754393753,0.25
PCDHGA3,4,1,99703,30028272,0.01321521754393753,0.25
RNF181,4,1,99703,30028272,0.01321521754393753,0.25
RNF182,4,1,99703,30028272,0.01321521754393753,0.25
SIGLEC6,8,2,99703,30028272,0.0003046065462837674,0.25
SLC35B1,4,1,99703,30028272,0.01321521754393753,0.25
SNX29,4,1,99703,30028272,0.01321521754393753,0.25
SPECC1,4,1,99703,30028272,0.01321521754393753,0.25
TBRG1,4,1,99703,30028272,0.01321521754393753,0.25
TRNAU1AP,4,1,99703,30028272,0.01321521754393753,0.25
ZBTB5,4,1,99703,30028272,0.01321521754393753,0.25
ZNF714,4,1,99703,30028272,0.01321521754393753,0.25
ZSCAN12,4,1,99703,30028272,0.01321521754393753,0.25
IVL,442,108,99703,30028272,1.4618190792758308e-163,0.24434389140271492
ZNF521,33,8,99703,30028272,1.904347783536944e-13,0.24242424242424243
ZBTB24,25,6,99703,30028272,2.2475920106224803e-10,0.24
BCL6B,42,10,99703,30028272,2.1743796340849737e-16,0.23809523809523808
EXOC2,21,5,99703,30028272,7.855039149503132e-09,0.23809523809523808
TSPAN33,17,4,99703,30028272,2.7941932048484824e-07,0.23529411764705882
BATF,139,32,99703,30028272,9.99739784727984e-49,0.2302158273381295
PBX1,644,147,99703,30028272,4.630036650427365e-217,0.22826086956521738
TRNT1,22,5,99703,30028272,1.0137255297253708e-08,0.22727272727272727
DCLRE1C,31,7,99703,30028272,1.0907670444976142e-11,0.22580645161290322
BCR,16209,3618,99703,30028272,0.0,0.2232093281510272
CD70,576,128,99703,30028272,1.3923639832238194e-187,0.2222222222222222
DOCK11,18,4,99703,30028272,3.5830056660896837e-07,0.2222222222222222
FBXO10,9,2,99703,30028272,0.0003907715465559194,0.2222222222222222
SH2D1A,217,48,99703,30028272,2.4309431601888748e-71,0.22119815668202766
BCL3,309,68,99703,30028272,3.5151044957953614e-100,0.22006472491909385
LY9,50,11,99703,30028272,1.7924580083652457e-17,0.22
BCL7A,23,5,99703,30028272,1.2917369471904805e-08,0.21739130434782608
BTG4,23,5,99703,30028272,1.2917369471904805e-08,0.21739130434782608
DAPP1,23,5,99703,30028272,1.2917369471904805e-08,0.21739130434782608
HVCN1,28,6,99703,30028272,4.740586292501624e-10,0.21428571428571427
KCNRG,14,3,99703,30028272,1.2963463751278714e-05,0.21428571428571427
MEF2B,84,18,99703,30028272,1.8554277534823955e-27,0.21428571428571427
LYN,2184,464,99703,30028272,0.0,0.21245421245421245
IGJ,52,11,99703,30028272,2.880935596138948e-17,0.21153846153846154
GIMAP4,19,4,99703,30028272,4.5264378269189194e-07,0.21052631578947367
CD40,11875,2494,99703,30028272,0.0,0.21002105263157894
LAPTM5,34,7,99703,30028272,2.212135293806657e-11,0.20588235294117646
ITPKB,39,8,99703,30028272,8.290411347037485e-13,0.20512820512820512
BCL2,7838,1606,99703,30028272,0.0,0.20489920898188313
BRWD1,10,2,99703,30028272,0.0004873853224504809,0.2
C14orf1,5,1,99703,30028272,0.016491643715511733,0.2
CDC42EP5,5,1,99703,30028272,0.016491643715511733,0.2
CGRRF1,5,1,99703,30028272,0.016491643715511733,0.2
CT45A1,5,1,99703,30028272,0.016491643715511733,0.2
CYLC2,5,1,99703,30028272,0.016491643715511733,0.2
FCRL6,10,2,99703,30028272,0.0004873853224504809,0.2
GIMAP7,5,1,99703,30028272,0.016491643715511733,0.2
GOLGA7,5,1,99703,30028272,0.016491643715511733,0.2
IGBP1,15,3,99703,30028272,1.6164052483116794e-05,0.2
LILRA1,15,3,99703,30028272,1.6164052483116794e-05,0.2
LILRA4,10,2,99703,30028272,0.0004873853224504809,0.2
LRRN4,5,1,99703,30028272,0.016491643715511733,0.2
MRPL51,5,1,99703,30028272,0.016491643715511733,0.2
N4BP2,5,1,99703,30028272,0.016491643715511733,0.2
PHF23,10,2,99703,30028272,0.0004873853224504809,0.2
PRDM15,5,1,99703,30028272,0.016491643715511733,0.2
RNPEP,5,1,99703,30028272,0.016491643715511733,0.2
SLC31A2,5,1,99703,30028272,0.016491643715511733,0.2
SYCP2L,5,1,99703,30028272,0.016491643715511733,0.2
TGOLN2,5,1,99703,30028272,0.016491643715511733,0.2
TRAF3IP3,10,2,99703,30028272,0.0004873853224504809,0.2
USP54,5,1,99703,30028272,0.016491643715511733,0.2
USPL1,5,1,99703,30028272,0.016491643715511733,0.2
ZFPL1,5,1,99703,30028272,0.016491643715511733,0.2
ZNF43,5,1,99703,30028272,0.016491643715511733,0.2
FCGR2B,131,26,99703,30028272,4.915990049271125e-38,0.1984732824427481
DOHH,72,14,99703,30028272,4.93596764471553e-21,0.19444444444444445
PBX3,106,20,99703,30028272,3.9207115300158754e-29,0.18867924528301888
SLAMF7,106,20,99703,30028272,3.9207115300158754e-29,0.18867924528301888
SYK,3449,650,99703,30028272,0.0,0.18846042331110466
PBX2,96,18,99703,30028272,2.569736689888042e-26,0.1875
SAMSN1,16,3,99703,30028272,1.9844778003686372e-05,0.1875
IL4I1,38,7,99703,30028272,5.12957435449726e-11,0.18421052631578946
BCL11A,349,64,99703,30028272,7.991313674477502e-89,0.1833810888252149
CD84,82,15,99703,30028272,5.310368108591865e-22,0.18292682926829268
NFAM1,11,2,99703,30028272,0.0005943775392161435,0.18181818181818182
CD38,6192,1123,99703,30028272,0.0,0.18136304909560724
CEBPE,62,11,99703,30028272,2.351480717100184e-16,0.1774193548387097
MCOLN2,17,3,99703,30028272,2.4037354864357277e-05,0.17647058823529413
TCL1B,17,3,99703,30028272,2.4037354864357277e-05,0.17647058823529413
CD52,852,150,99703,30028272,7.401493175963034e-203,0.176056338028169
HOXC4,58,10,99703,30028272,7.34697888550495e-15,0.1724137931034483
TCF3,371,63,99703,30028272,3.426473427424045e-85,0.16981132075471697
CCND3,189,32,99703,30028272,4.714724539880673e-44,0.1693121693121693
RP9,65,11,99703,30028272,4.103322649752973e-16,0.16923076923076924
TBL1XR1,71,12,99703,30028272,1.9166763477758684e-17,0.16901408450704225
ETV6,998,167,99703,30028272,1.1605785171300073e-221,0.16733466933867736
ICOS,1353,226,99703,30028272,4.181442545913395e-299,0.1670362158167036
ASMTL,6,1,99703,30028272,0.01975719126255196,0.16666666666666666
ASPRV1,6,1,99703,30028272,0.01975719126255196,0.16666666666666666
B4GALT3,12,2,99703,30028272,0.0007116782139673622,0.16666666666666666
CCDC34,6,1,99703,30028272,0.01975719126255196,0.16666666666666666
CTAGE1,6,1,99703,30028272,0.01975719126255196,0.16666666666666666
DUS4L,6,1,99703,30028272,0.01975719126255196,0.16666666666666666
FKBP3,6,1,99703,30028272,0.01975719126255196,0.16666666666666666
HIST1H1E,12,2,99703,30028272,0.0007116782139673622,0.16666666666666666
HOMEZ,6,1,99703,30028272,0.01975719126255196,0.16666666666666666
IFNA14,6,1,99703,30028272,0.01975719126255196,0.16666666666666666
KIAA0391,6,1,99703,30028272,0.01975719126255196,0.16666666666666666
KLHDC8B,6,1,99703,30028272,0.01975719126255196,0.16666666666666666
MYLK4,6,1,99703,30028272,0.01975719126255196,0.16666666666666666
PDCD11,6,1,99703,30028272,0.01975719126255196,0.16666666666666666
PLCG2,84,14,99703,30028272,5.050894410269125e-20,0.16666666666666666
PMPCB,6,1,99703,30028272,0.01975719126255196,0.16666666666666666
PRIC285,6,1,99703,30028272,0.01975719126255196,0.16666666666666666
PSORS1C2,6,1,99703,30028272,0.01975719126255196,0.16666666666666666
RABGGTB,6,1,99703,30028272,0.01975719126255196,0.16666666666666666
RRAGC,6,1,99703,30028272,0.01975719126255196,0.16666666666666666
SH2D3C,6,1,99703,30028272,0.01975719126255196,0.16666666666666666
SMEK2,6,1,99703,30028272,0.01975719126255196,0.16666666666666666
STXBP3,6,1,99703,30028272,0.01975719126255196,0.16666666666666666
TSPAN17,6,1,99703,30028272,0.01975719126255196,0.16666666666666666
TSPAN32,6,1,99703,30028272,0.01975719126255196,0.16666666666666666
XKR6,12,2,99703,30028272,0.0007116782139673622,0.16666666666666666
ZBTB1,12,2,99703,30028272,0.0007116782139673622,0.16666666666666666
ZNF483,6,1,99703,30028272,0.01975719126255196,0.16666666666666666
UCHL1,652,108,99703,30028272,1.6654315781815265e-143,0.1656441717791411
PELI1,37,6,99703,30028272,2.851354220396774e-09,0.16216216216216217
CR2,1660,268,99703,30028272,0.0,0.1614457831325301
LMO2,447,72,99703,30028272,2.4411814537921742e-95,0.1610738255033557
ENPEP,25,4,99703,30028272,1.4539396194606612e-06,0.16
ITGB7,25,4,99703,30028272,1.4539396194606612e-06,0.16
PARP9,19,3,99703,30028272,3.408326358785044e-05,0.15789473684210525
ELL2,51,8,99703,30028272,8.281888669529992e-12,0.1568627450980392
BCL11B,217,34,99703,30028272,1.757970774498018e-45,0.15668202764976957
BCL2A1,148,23,99703,30028272,3.41526508666792e-31,0.1554054054054054
CD93,103,16,99703,30028272,3.7278949647141505e-22,0.1553398058252427
ZAP70,593,92,99703,30028272,1.0105006341863333e-119,0.1551433389544688
CMPK2,13,2,99703,30028272,0.0008392177141230371,0.15384615384615385
CMTM7,13,2,99703,30028272,0.0008392177141230371,0.15384615384615385
DDX43,13,2,99703,30028272,0.0008392177141230371,0.15384615384615385
DTX3L,13,2,99703,30028272,0.0008392177141230371,0.15384615384615385
IFNA6,13,2,99703,30028272,0.0008392177141230371,0.15384615384615385
PIK3AP1,13,2,99703,30028272,0.0008392177141230371,0.15384615384615385
SH3BP5,26,4,99703,30028272,1.7137389511948967e-06,0.15384615384615385
SIRPB1,13,2,99703,30028272,0.0008392177141230371,0.15384615384615385
SLAMF8,13,2,99703,30028272,0.0008392177141230371,0.15384615384615385
ZNF608,13,2,99703,30028272,0.0008392177141230371,0.15384615384615385
HLA-DOA,33,5,99703,30028272,8.862464334506672e-08,0.15151515151515152
SOX11,337,51,99703,30028272,1.4328923505532934e-66,0.1513353115727003
ROR1,225,34,99703,30028272,6.499049076177132e-45,0.1511111111111111
IKZF3,113,17,99703,30028272,3.385859539946348e-23,0.1504424778761062
DNTT,40,6,99703,30028272,4.667782641469818e-09,0.15
EML1,20,3,99703,30028272,3.99983740355197e-05,0.15
IL21,227,34,99703,30028272,8.939676810700193e-45,0.14977973568281938
PIK3CD,134,20,99703,30028272,5.942233596283718e-27,0.14925373134328357
CLTC,88,13,99703,30028272,5.67385509455176e-18,0.14772727272727273
MNDA,88,13,99703,30028272,5.67385509455176e-18,0.14772727272727273
CD74,684,101,99703,30028272,5.94786932908863e-129,0.1476608187134503
TNFSF9,34,5,99703,30028272,1.0361791461928049e-07,0.14705882352941177
CD53,171,25,99703,30028272,4.5562128262664244e-33,0.14619883040935672
LRBA,83,12,99703,30028272,1.3975711737079312e-16,0.14457831325301204
IL7,251,36,99703,30028272,1.3489910986497144e-46,0.14342629482071714
ARHGAP27,7,1,99703,30028272,0.023011896304682557,0.14285714285714285
ARHGEF1,35,5,99703,30028272,1.2055387324761706e-07,0.14285714285714285
ARID3B,28,4,99703,30028272,2.3346567304889746e-06,0.14285714285714285
BLZF1,7,1,99703,30028272,0.023011896304682557,0.14285714285714285
CTDSPL2,7,1,99703,30028272,0.023011896304682557,0.14285714285714285
DEF6,21,3,99703,30028272,4.654889743442517e-05,0.14285714285714285
DHX16,7,1,99703,30028272,0.023011896304682557,0.14285714285714285
DHX8,7,1,99703,30028272,0.023011896304682557,0.14285714285714285
EFHD1,14,2,99703,30028272,0.000976926755851797,0.14285714285714285
ELL3,14,2,99703,30028272,0.000976926755851797,0.14285714285714285
FAIM3,21,3,99703,30028272,4.654889743442517e-05,0.14285714285714285
FAM167A,21,3,99703,30028272,4.654889743442517e-05,0.14285714285714285
FNIP1,35,5,99703,30028272,1.2055387324761706e-07,0.14285714285714285
HS2ST1,7,1,99703,30028272,0.023011896304682557,0.14285714285714285
KRTDAP,7,1,99703,30028272,0.023011896304682557,0.14285714285714285
MAP4K5,7,1,99703,30028272,0.023011896304682557,0.14285714285714285
PSMD8,7,1,99703,30028272,0.023011896304682557,0.14285714285714285
RABAC1,7,1,99703,30028272,0.023011896304682557,0.14285714285714285
RASAL3,7,1,99703,30028272,0.023011896304682557,0.14285714285714285
RBP5,7,1,99703,30028272,0.023011896304682557,0.14285714285714285
RHOQ,14,2,99703,30028272,0.000976926755851797,0.14285714285714285
SAMD14,7,1,99703,30028272,0.023011896304682557,0.14285714285714285
SCIMP,7,1,99703,30028272,0.023011896304682557,0.14285714285714285
SPACA3,7,1,99703,30028272,0.023011896304682557,0.14285714285714285
SPPL2C,7,1,99703,30028272,0.023011896304682557,0.14285714285714285
SRPK3,7,1,99703,30028272,0.023011896304682557,0.14285714285714285
SSX5,7,1,99703,30028272,0.023011896304682557,0.14285714285714285
STMN4,7,1,99703,30028272,0.023011896304682557,0.14285714285714285
STON2,7,1,99703,30028272,0.023011896304682557,0.14285714285714285
TBC1D14,7,1,99703,30028272,0.023011896304682557,0.14285714285714285
TBC1D16,7,1,99703,30028272,0.023011896304682557,0.14285714285714285
TBPL1,7,1,99703,30028272,0.023011896304682557,0.14285714285714285
TIFAB,7,1,99703,30028272,0.023011896304682557,0.14285714285714285
TMCC2,7,1,99703,30028272,0.023011896304682557,0.14285714285714285
TRIM45,7,1,99703,30028272,0.023011896304682557,0.14285714285714285
ZBTB17,14,2,99703,30028272,0.000976926755851797,0.14285714285714285
ZNF385B,7,1,99703,30028272,0.023011896304682557,0.14285714285714285
ZNF423,42,6,99703,30028272,6.343119936586174e-09,0.14285714285714285
TRAF3,566,79,99703,30028272,3.1983243704087553e-99,0.13957597173144876
ICOSLG,29,4,99703,30028272,2.701027730366945e-06,0.13793103448275862
LILRB4,29,4,99703,30028272,2.701027730366945e-06,0.13793103448275862
NFKBIZ,51,7,99703,30028272,4.5313888928436714e-10,0.13725490196078433
TRAF5,168,23,99703,30028272,7.407843819807836e-30,0.13690476190476192
RAG1,1663,227,99703,30028272,2.7695647368774287e-279,0.13650030066145522
RAG2,1532,208,99703,30028272,1.4629664990377643e-255,0.13577023498694518
INPP5D,52,7,99703,30028272,5.221091740297704e-10,0.1346153846153846
